start	chr	end	strand	pvalue	qvalue	meth.diff	contig_id
17489422	Plantago_genome	17489422	+	0.00377666583036356	0.0491068167478241	11.3438744635675	Plantago_64300
17489492	Plantago_genome	17489492	+	0.00393307967741602	0.0499730235753046	11.3186406367535	Plantago_64300
23777986	Plantago_genome	23777986	-	1.96671418945641e-06	0.000679796422464243	60.6785399153071	Plantago_87429
24767037	Plantago_genome	24767037	-	0.00110264311479031	0.0246111336936364	19.8870135641517	Plantago_91066
24767038	Plantago_genome	24767038	-	0.00120801031140228	0.025847723233112	19.5974913913316	Plantago_91066
24767047	Plantago_genome	24767047	-	0.0036399999035755	0.0481140278717981	18.422123569049	Plantago_91066
24767052	Plantago_genome	24767052	-	0.00139273463964202	0.0280825336594485	19.6387747510505	Plantago_91066
24767057	Plantago_genome	24767057	-	0.000871448472755936	0.0207253965321973	20.0613724281625	Plantago_91066
24767090	Plantago_genome	24767090	-	0.00023216706668105	0.00857551926709068	21.2043222003929	Plantago_91066
24767097	Plantago_genome	24767097	-	0.00375915234285314	0.0489553487281931	17.9857153461059	Plantago_91066
24767104	Plantago_genome	24767104	-	0.00191922185131248	0.0332388808933929	18.0153819599322	Plantago_91066
24767113	Plantago_genome	24767113	-	0.000631236256376579	0.0165704028707203	20.9396973425521	Plantago_91066
24767118	Plantago_genome	24767118	-	0.00154264167900623	0.0295130582897561	19.4851039026531	Plantago_91066
24767148	Plantago_genome	24767148	-	0.00118313587376696	0.0255867761678406	20.0460829493088	Plantago_91066
24767160	Plantago_genome	24767160	-	0.000331787654780656	0.0108139119644625	21.4193582891065	Plantago_91066
24767177	Plantago_genome	24767177	-	0.000305167641052555	0.0103473871911356	23.2869230921665	Plantago_91066
24767182	Plantago_genome	24767182	-	0.000814661521505174	0.0200606849590273	21.1823206169731	Plantago_91066
24767212	Plantago_genome	24767212	-	0.000747167679787775	0.0188433595705884	26.3722896477577	Plantago_91066
24767224	Plantago_genome	24767224	-	0.000242702225959343	0.00884721393359137	23.8648032568403	Plantago_91066
24767249	Plantago_genome	24767249	-	0.000500204673818065	0.0140417226821855	20.6881108939044	Plantago_91066
24767273	Plantago_genome	24767273	-	0.000825421192627928	0.0201940687236511	19.3563054430908	Plantago_91066
24767297	Plantago_genome	24767297	-	0.0033199993273303	0.0452111728061849	18.4428285755517	Plantago_91066
