start	chr	end	strand	pvalue	qvalue	meth.diff	contig_id
21832771	Plantago_genome	21832771	-	0.00029121101454059	0.0207964926053914	-17.7725253334726	Plantago_80276
58917377	Plantago_genome	58917377	-	1.02116802751454e-05	0.00310517365028296	23.2032682865508	Plantago_216693
67636353	Plantago_genome	67636353	+	0.000247392260447772	0.019441092210363	11.3527028788194	Plantago_248839
67636375	Plantago_genome	67636375	+	0.000822919744856599	0.0373157308916824	10.6866375573598	Plantago_248839
67636379	Plantago_genome	67636379	+	0.000887778580084246	0.0390455773092912	10.6798154284104	Plantago_248839
67636389	Plantago_genome	67636389	+	0.000689357585749146	0.0348741564186482	10.7847950923865	Plantago_248839
67636397	Plantago_genome	67636397	+	0.000571413072443183	0.0308431297712961	10.6221715414429	Plantago_248839
67636453	Plantago_genome	67636453	+	0.000824884638238814	0.0373157308916824	10.500209658257	Plantago_248839
67636496	Plantago_genome	67636496	+	0.00095205164921703	0.0411942894435847	10.7341192607643	Plantago_248839
67636503	Plantago_genome	67636503	+	0.000738364780631601	0.0364594828070907	11.7033207703379	Plantago_248839
67636570	Plantago_genome	67636570	+	0.000775204073439361	0.0368219672784268	10.5244223977829	Plantago_248839
67636576	Plantago_genome	67636576	+	0.000687542625655137	0.0348741564186482	10.3424736936945	Plantago_248839
73506515	Plantago_genome	73506515	-	1.7219114207417e-06	0.00102237862524371	-31.1559839477928	Plantago_270524
74211791	Plantago_genome	74211791	-	2.66907044128532e-06	0.00141370224165479	24.7386908815462	Plantago_273131
76531517	Plantago_genome	76531517	-	0.00118543946270785	0.0472763404014144	-10.2111183469744	Plantago_281702
87259276	Plantago_genome	87259276	-	0.000138832744784441	0.013997790986816	22.7848273209875	Plantago_321414
90250338	Plantago_genome	90250338	-	9.14601300949851e-10	2.4436853385803e-06	12.0658415887857	Plantago_332500
90250398	Plantago_genome	90250398	-	0.000414118425811639	0.0262799133585477	10.3932097696172	Plantago_332500
102880631	Plantago_genome	102880631	-	8.88473933144612e-05	0.0108815950242208	35.7912426181147	Plantago_379273
102880648	Plantago_genome	102880648	-	9.17164096479956e-05	0.0108815950242208	35.8521751130926	Plantago_379273
102880650	Plantago_genome	102880650	-	9.4689548935029e-05	0.0108815950242208	35.9577510643865	Plantago_379273
102880681	Plantago_genome	102880681	-	9.85202813009918e-05	0.011083463556853	35.8427428200327	Plantago_379273
102880683	Plantago_genome	102880683	-	8.15852850924618e-05	0.0102865435507202	35.8847651173605	Plantago_379273
102880802	Plantago_genome	102880802	-	7.16568984741039e-05	0.00945467157649539	35.6063236861635	Plantago_379273
102880840	Plantago_genome	102880840	-	7.88866801997203e-05	0.010266734147	36.0096129187528	Plantago_379273
102880865	Plantago_genome	102880865	-	8.83375257132968e-05	0.0108815950242208	35.6355242668953	Plantago_379273
155835054	Plantago_genome	155835054	-	0.0006132382720733	0.0322854372889878	18.2935617900713	Plantago_573959
191313132	Plantago_genome	191313132	-	0.000111119381628944	0.0121181744432894	30.9640082448074	Plantago_704594
191313184	Plantago_genome	191313184	-	0.000205889635715658	0.0174637457436882	31.2636375304839	Plantago_704594
191838516	Plantago_genome	191838516	-	0.00045059963954024	0.0270547981054017	-17.4960418950189	Plantago_706525
193879033	Plantago_genome	193879033	-	0.000277663565994803	0.0204693904974627	-15.500199528026	Plantago_714027
196985676	Plantago_genome	196985676	-	0.000591627296924665	0.0314576014510741	-10.6515795242726	Plantago_725449
197621705	Plantago_genome	197621705	-	0.000827497782642452	0.0373157308916824	-10.3887597108147	Plantago_727787
201842898	Plantago_genome	201842898	-	0.00076850904175853	0.0367096867928986	11.8985742040709	Plantago_743306
202619831	Plantago_genome	202619831	-	0.000619279289435064	0.0324436605200291	10.4070452021709	Plantago_746163
204777247	Plantago_genome	204777247	-	1.15484121875442e-07	0.000137136552250328	-14.0507237745164	Plantago_754094
207209792	Plantago_genome	207209792	-	1.35111826732885e-05	0.00353692426166487	11.3678112367939	Plantago_763037
208091730	Plantago_genome	208091730	-	0.00117011899660363	0.0470134208654385	17.9923879411845	Plantago_766280
208262823	Plantago_genome	208262823	-	0.00041119375516425	0.0262799133585477	13.1092157082289	Plantago_766909
208592674	Plantago_genome	208592674	-	0.000691776989984073	0.0348741564186482	29.0397224303514	Plantago_768122
210598783	Plantago_genome	210598783	-	6.86484100155871e-09	9.17094218528436e-06	-23.1171735294072	Plantago_775497
210598915	Plantago_genome	210598915	-	0.00106821844315989	0.0442500561074304	10.2559917113716	Plantago_775497
211126148	Plantago_genome	211126148	-	0.00118815554561406	0.0472763404014144	16.3665824097479	Plantago_777436
212802651	Plantago_genome	212802651	-	0.000735667447533397	0.0364594828070907	18.3120759647674	Plantago_783599
213487907	Plantago_genome	213487907	-	0.00127090203617111	0.0486495856393585	-21.3375595095278	Plantago_786119
214001536	Plantago_genome	214001536	-	1.16859887991178e-06	0.000885300457130352	24.9360772857432	Plantago_788007
216960921	Plantago_genome	216960921	-	0.000740281298102113	0.0364594828070907	18.4620299379336	Plantago_798887
217149991	Plantago_genome	217149991	-	0.000956220211149466	0.0412078255021164	12.4555737503513	Plantago_799582
219930096	Plantago_genome	219930096	-	0.00115131690284314	0.0466084235137205	36.7299998067147	Plantago_809803
221015151	Plantago_genome	221015151	-	0.000415662006519596	0.0262799133585477	30.1278839331498	Plantago_813792
221993678	Plantago_genome	221993678	-	5.31118993869329e-06	0.00202724977697477	11.7968283705816	Plantago_817390
