72_8_2191_32066_3956/1	gi|2978724457|gb|PV611058.1|	92.208	77	2	3	64	137	295316	295391	2.80e-18	106	3421660	N/A
72_8_2191_32066_3956/1	gi|2978724457|gb|PV611058.1|	90.769	65	2	3	64	125	295779	295842	1.31e-11	84.2	3421660	N/A
72_8_2191_32066_3956/1	gi|685042161|emb|LN590686.1|	94.444	54	0	3	57	108	20813819	20813871	1.70e-10	80.5	7962	N/A
72_8_2191_32066_3956/1	gi|685042161|emb|LN590686.1|	95.455	44	0	2	67	108	28125758	28125801	3.68e-07	69.4	7962	N/A
72_8_2191_32066_3956/1	gi|685042161|emb|LN590686.1|	95.349	43	0	2	68	108	4545830	4545872	1.32e-06	67.6	7962	N/A
72_8_2191_32066_3956/1	gi|685042161|emb|LN590686.1|	93.617	47	0	3	65	108	6380189	6380235	1.32e-06	67.6	7962	N/A
72_8_2191_32066_3956/1	gi|685042161|emb|LN590686.1|	95.238	42	0	2	69	108	12304839	12304798	4.76e-06	65.8	7962	N/A
72_8_2191_32066_3956/1	gi|685042161|emb|LN590686.1|	95.238	42	0	2	69	108	17091846	17091887	4.76e-06	65.8	7962	N/A
72_8_2191_32066_3956/1	gi|685042161|emb|LN590686.1|	94.872	39	0	2	72	108	12436830	12436868	2.21e-04	60.2	7962	N/A
72_8_2191_32066_3956/1	gi|2557643774|emb|OY673254.1|	95.652	46	2	0	69	114	21732	21777	7.91e-09	75.0	2697049	N/A
72_8_2191_32066_3956/1	gi|2463378371|dbj|AP027461.1|	95.652	46	2	0	69	114	1299632	1299677	7.91e-09	75.0	511145	N/A
72_8_2191_32066_3956/1	gi|2463378371|dbj|AP027461.1|	95.652	46	2	0	69	114	1628404	1628359	7.91e-09	75.0	511145	N/A
72_8_2191_32066_3956/1	gi|685046059|emb|LN594584.1|	92.593	54	1	3	57	108	7181	7129	7.91e-09	75.0	7962	N/A
72_8_1225_11326_17641/1	gi|2978724457|gb|PV611058.1|	91.803	61	1	3	78	135	295784	295843	4.72e-11	82.4	3421660	N/A
72_8_1225_11326_17641/1	gi|2978724457|gb|PV611058.1|	91.667	60	1	3	78	134	295321	295379	1.70e-10	80.5	3421660	N/A
72_8_1225_11326_17641/1	gi|685042175|emb|LN590700.1|	95.833	48	0	2	72	117	15778532	15778579	2.20e-09	76.8	7962	N/A
72_8_1225_11326_17641/1	gi|685042175|emb|LN590700.1|	95.349	43	0	2	78	118	14033941	14033899	1.32e-06	67.6	7962	N/A
72_8_1225_11326_17641/1	gi|2557643774|emb|OY673254.1|	95.652	46	2	0	78	123	21732	21777	7.91e-09	75.0	2697049	N/A
72_8_1225_11326_17641/1	gi|2463378371|dbj|AP027461.1|	93.878	49	3	0	75	123	1299629	1299677	7.91e-09	75.0	511145	N/A
72_8_1225_11326_17641/1	gi|2463378371|dbj|AP027461.1|	95.652	46	2	0	78	123	1628404	1628359	7.91e-09	75.0	511145	N/A
72_8_1225_11326_17641/1	gi|685047827|emb|LN596339.1|	94.000	50	1	2	70	117	601778	601827	7.91e-09	75.0	7962	N/A
72_8_1210_14109_22040/1	gi|2991388636|dbj|AP040949.1|	94.737	38	2	0	81	118	4537862	4537899	2.21e-04	60.2	573	N/A
72_8_1397_50597_23034/1	gi|2978724457|gb|PV611058.1|	91.549	71	2	3	64	131	295316	295385	6.07e-15	95.3	3421660	N/A
72_8_1397_50597_23034/1	gi|2978724457|gb|PV611058.1|	90.769	65	2	3	64	125	295779	295842	1.31e-11	84.2	3421660	N/A
72_8_1397_50597_23034/1	gi|685042161|emb|LN590686.1|	94.444	54	0	3	57	108	20813819	20813871	1.70e-10	80.5	7962	N/A
72_8_1397_50597_23034/1	gi|685042161|emb|LN590686.1|	95.349	43	0	2	68	108	12304840	12304798	1.32e-06	67.6	7962	N/A
72_8_1397_50597_23034/1	gi|685042161|emb|LN590686.1|	95.238	42	0	2	69	108	4545831	4545872	4.76e-06	65.8	7962	N/A
72_8_1397_50597_23034/1	gi|685042161|emb|LN590686.1|	95.238	42	0	2	69	108	6380194	6380235	4.76e-06	65.8	7962	N/A
72_8_1397_50597_23034/1	gi|685042161|emb|LN590686.1|	95.238	42	0	2	69	108	17091846	17091887	4.76e-06	65.8	7962	N/A
72_8_1397_50597_23034/1	gi|685042161|emb|LN590686.1|	95.238	42	0	2	69	108	28125760	28125801	4.76e-06	65.8	7962	N/A
72_8_1397_50597_23034/1	gi|685042161|emb|LN590686.1|	94.872	39	0	2	72	108	12436830	12436868	2.21e-04	60.2	7962	N/A
72_8_1397_50597_23034/1	gi|2557643774|emb|OY673254.1|	95.652	46	2	0	69	114	21732	21777	7.91e-09	75.0	2697049	N/A
72_8_1397_50597_23034/1	gi|2463378371|dbj|AP027461.1|	95.652	46	2	0	69	114	1299632	1299677	7.91e-09	75.0	511145	N/A
72_8_1397_50597_23034/1	gi|2463378371|dbj|AP027461.1|	95.652	46	2	0	69	114	1628404	1628359	7.91e-09	75.0	511145	N/A
72_8_1397_50597_23034/1	gi|2557649546|emb|OY678249.1|	100.000	39	0	0	65	103	10396	10434	2.84e-08	73.1	2697049	N/A
72_8_1316_5273_12851/1	gi|685049067|emb|LN597579.1|	100.000	33	0	0	105	137	1397	1429	6.15e-05	62.1	7962	N/A
72_8_1316_5273_12851/1	gi|685042185|emb|LN590710.1|	91.304	46	3	1	92	137	9162072	9162116	6.15e-05	62.1	7962	N/A
72_8_1316_5273_12851/1	gi|685042185|emb|LN590710.1|	100.000	28	0	0	110	137	3790452	3790425	0.037	52.8	7962	N/A
72_8_1316_5273_12851/1	gi|685042185|emb|LN590710.1|	96.774	31	1	0	107	137	6008691	6008721	0.037	52.8	7962	N/A
72_8_1316_5273_12851/1	gi|685042185|emb|LN590710.1|	90.244	41	2	1	99	137	10218490	10218530	0.037	52.8	7962	N/A
72_8_1316_5273_12851/1	gi|685049565|emb|LN598077.1|	100.000	32	0	0	106	137	26370	26339	2.21e-04	60.2	7962	N/A
72_8_1316_5273_12851/1	gi|685045865|emb|LN594390.1|	100.000	32	0	0	106	137	110098	110067	2.21e-04	60.2	7962	N/A
72_8_1316_5273_12851/1	gi|685043901|emb|LN592426.1|	97.222	36	0	1	102	137	375100	375134	2.21e-04	60.2	7962	N/A
72_8_2255_8938_14574/1	gi|2978724457|gb|PV611058.1|	92.553	94	5	2	46	137	295321	295414	1.29e-26	134	3421660	N/A
72_8_2255_8938_14574/1	gi|2978724457|gb|PV611058.1|	91.525	59	3	2	46	102	295784	295842	1.70e-10	80.5	3421660	N/A
